               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.069858,            0.034804,                   0,             0.09963,                 0.4,              0.0857,            0.018307,            0.072767,            0.023561,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.069228,            0.036021,                   0,             0.46074,                 0.6,             0.39103,            0.053594,            0.062344,            0.025379,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.066752,            0.036446,                   0,             0.46074,                 0.6,             0.39103,            0.053594,            0.062344,            0.025379,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.065905,             0.04122,                   0,             0.46074,                 0.6,             0.39103,            0.053594,            0.062344,            0.025379,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.066181,            0.032575,                   0,             0.14222,                 0.5,             0.11459,            0.026617,            0.079998,            0.021145,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.068761,            0.032625,                   0,             0.14222,                 0.5,             0.11459,            0.026617,            0.079998,            0.021145,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.073738,            0.036321,                   0,             0.14222,                 0.5,             0.11459,            0.026617,            0.079998,            0.021145,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.071508,            0.040275,                   0,             0.34978,                 0.7,             0.42025,            0.066608,            0.065981,            0.023715,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.066227,            0.033792,                   0,             0.34978,                 0.7,             0.42025,            0.066608,            0.065981,            0.023715,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.069063,            0.035466,                   0,             0.34978,                 0.7,             0.42025,            0.066608,            0.065981,            0.023715,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.069526,            0.048302,                   0,             0.34978,                 0.7,             0.42025,            0.066608,            0.065981,            0.023715,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.071189,            0.029854,                   0,             0.33052,             0.69155,             0.34187,            0.066837,            0.066726,            0.022807,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.071105,            0.025985,                   0,             0.33052,             0.69155,             0.34187,            0.066837,            0.066726,            0.022807,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.070482,            0.029946,                   0,             0.33052,             0.69155,             0.34187,            0.066837,            0.066726,            0.022807,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.069074,            0.031965,                   0,             0.99473,                 0.6,             0.70472,               0.161,             0.06294,            0.022911,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.066618,            0.040984,                   0,             0.99473,                 0.6,             0.70472,               0.161,             0.06294,            0.022911,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.067034,            0.034797,                   0,             0.99473,                 0.6,             0.70472,               0.161,             0.06294,            0.022911,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.06359,            0.035761,                   0,             0.99465,                 0.6,             0.75988,             0.13363,            0.065553,            0.021831,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.063556,            0.032841,                   0,             0.99465,                 0.6,             0.75988,             0.13363,            0.065553,            0.021831,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.063046,            0.033695,                   0,             0.99465,                 0.6,             0.75988,             0.13363,            0.065553,            0.021831,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.064523,             0.04061,                   0,             0.79842,                 0.8,             0.75506,             0.21354,            0.061151,            0.022032,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.05953,            0.038776,                   0,             0.79842,                 0.8,             0.75506,             0.21354,            0.061151,            0.022032,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.061123,              0.0347,                   0,             0.79842,                 0.8,             0.75506,             0.21354,            0.061151,            0.022032,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.059429,            0.041167,                   0,               0.428,                 0.3,             0.27412,             0.04127,            0.073161,             0.01873,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.060237,            0.026259,                   0,               0.428,                 0.3,             0.27412,             0.04127,            0.073161,             0.01873,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.066157,            0.033663,                   0,               0.428,                 0.3,             0.27412,             0.04127,            0.073161,             0.01873,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.062182,            0.029861,                   0,               0.428,                 0.3,             0.27412,             0.04127,            0.073161,             0.01873,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.065573,            0.031408,                   0,             0.21763,                 0.9,             0.24202,            0.042665,             0.07018,            0.018981,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.063301,             0.02735,                   0,             0.21763,                 0.9,             0.24202,            0.042665,             0.07018,            0.018981,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.061835,            0.032534,                   0,             0.21763,                 0.9,             0.24202,            0.042665,             0.07018,            0.018981,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.059887,            0.036596,                   0,              0.6991,             0.69731,             0.74165,             0.17172,            0.052192,            0.021235,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.055081,             0.03028,                   0,              0.6991,             0.69731,             0.74165,             0.17172,            0.052192,            0.021235,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.054368,            0.025828,                   0,              0.6991,             0.69731,             0.74165,             0.17172,            0.052192,            0.021235,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.052601,             0.03013,                   0,             0.57102,                 0.8,             0.64091,             0.21795,            0.053629,            0.020494,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.057918,             0.03338,                   0,             0.57102,                 0.8,             0.64091,             0.21795,            0.053629,            0.020494,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.057709,            0.030877,                   0,             0.57102,                 0.8,             0.64091,             0.21795,            0.053629,            0.020494,                   0,            0.007096,            0.007096,            0.007096
