               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,             0.04181,            0.015267,                   0,             0.45299,                0.88,             0.58388,             0.26112,            0.048663,           0.0090317,                   0,           0.0025191,           0.0025191,            0.049519
                  54,            0.044749,            0.016409,                   0,             0.75748,                0.88,             0.85733,             0.29372,            0.037443,           0.0084963,                   0,           0.0025132,           0.0025132,            0.048513
                  55,            0.038667,            0.015952,                   0,             0.66207,                0.98,             0.81627,             0.43658,            0.037742,           0.0082607,                   0,           0.0025053,           0.0025053,            0.047505
                  56,            0.038498,            0.018867,                   0,             0.72707,             0.95905,             0.83501,             0.24377,            0.048721,           0.0084473,                   0,           0.0024954,           0.0024954,            0.046495
                  57,            0.046251,            0.015353,                   0,             0.80343,                0.74,             0.83351,             0.45475,            0.043471,           0.0079535,                   0,           0.0024835,           0.0024835,            0.045483
                  58,            0.039305,             0.01604,                   0,             0.52864,             0.91966,             0.65082,             0.23824,            0.049226,           0.0082973,                   0,           0.0024696,           0.0024696,             0.04447
                  59,            0.044594,            0.013048,                   0,             0.71548,                0.86,             0.78642,             0.34728,            0.045747,           0.0079729,                   0,           0.0024538,           0.0024538,            0.043454
                  60,            0.042211,            0.017058,                   0,             0.69339,             0.85936,             0.84542,             0.34433,            0.048078,           0.0081449,                   0,            0.002436,            0.002436,            0.042436
                  61,            0.040444,            0.014458,                   0,             0.78545,             0.87864,              0.8586,             0.51863,            0.041235,           0.0083536,                   0,           0.0024162,           0.0024162,            0.041416
                  62,            0.037167,            0.016979,                   0,             0.65654,                0.92,             0.77173,             0.36333,            0.038508,           0.0090122,                   0,           0.0023944,           0.0023944,            0.040394
                  63,            0.038455,            0.016569,                   0,             0.64828,                0.78,             0.78688,             0.28438,            0.046269,           0.0094179,                   0,           0.0023707,           0.0023707,            0.039371
                  64,            0.044603,            0.014084,                   0,             0.82124,                0.92,             0.92271,             0.48148,            0.036539,           0.0083856,                   0,            0.002345,            0.002345,            0.038345
                  65,            0.040148,            0.017444,                   0,             0.54607,                0.94,             0.68437,             0.22761,            0.039372,           0.0080882,                   0,           0.0023172,           0.0023172,            0.037317
                  66,            0.041272,            0.015623,                   0,             0.66659,             0.91968,             0.86653,             0.47043,            0.039587,           0.0078333,                   0,           0.0022876,           0.0022876,            0.036288
                  67,             0.04157,            0.015353,                   0,              0.9359,                0.88,             0.95054,             0.60455,            0.032994,           0.0074426,                   0,           0.0022559,           0.0022559,            0.035256
                  68,            0.033966,            0.016023,                   0,              0.7424,                0.98,             0.88086,             0.50751,            0.032308,            0.007555,                   0,           0.0022222,           0.0022222,            0.034222
                  69,            0.031806,            0.014896,                   0,             0.84197,                0.86,             0.92133,             0.40842,            0.037914,           0.0075139,                   0,           0.0021866,           0.0021866,            0.033187
                  70,            0.036949,            0.017364,                   0,             0.80727,                0.84,             0.88146,             0.45653,            0.029654,           0.0073976,                   0,            0.002149,            0.002149,            0.032149
